"Thème","French","English"
"Basis I","S'il-vous-plaît","Please"
"Basis I","Merci","Thank you, Thanks"
"Basis I","Je vous/t' en prie","You're welcome"
"Basis I","Pardon, excusez-moi (pour passer)","Excuse me"
"Basis I","Salut","Hi"
"Basis I","Bonjour","Hello "
"Basis I","Au revoir ","Good bye"
"Basis I","Bonsoir","Good evening"
"Basis I","Bonne nuit","Good night"
"Basis I","Bienvenue","Welcome"
"Basis I","Parlez-vous anglais ?","Do you speak English?"
"Basis I","Je parle anglais","I speak English"
"Basis I","Je ne parle pas anglais","I don't speak English"
"Basis I","Je parle un peu anglais","I speak a little English"
"Basis I","Je parle russe","I speak Russian"
"Basis I","Je parle français","I speak French"
"Basis I","Je parle espagnol","I speak Spanish"
"Basis I","Me comprenez-vous?","Do you understand me?"
"Basis I","Je comprends","I understand"
"Basis I","Je ne comprends pas","I don't understand"
"Basis I","Est-ce que tu pourrais répéter ?","Could you please repeat that? (informal)"
"Basis I","Pourriez-vous répéter, s'il-vous-plaît?","Could you please repeat that? (formal)"
"Basis I","Pourriez-vous parler plus lentement, s'il vous plaît?","Could you please speak more slowly? (formal)"
"Basis I","Pourriez-vous l'écrire, s'il vous plaît ?","Could you write it down please? (formal)"
"Basis I","Je ne sais pas comment dire cela","I don't know how to say that"
"Basis I","Je ne connais pas le mot exact","I don't know the right word"
"Basis I","Qu'avez-vous dit ?","What did you say? (formal)"
"Basis I","Qu'est-ce que tu as dit?","What did you say? (informal)"
"Basis I","Comment dit-on ceci en .... ?","How do you say that in ... ? (formal)"
"Basis I","Comment écrit-on cela ?","How do you write that? (formal)"
"Basis I","Comment prononce-t-on cela ?","How do you pronounce that? (formal)"
"Basis I","Pouvez-vous me traduire cela ?","Can you translate this for me? (formal)"
"Basis I","Est-ce que je l'ai dit correctement ?","Did I say that right?"
"Basis I","Comment allez-vous ?","How are you doing? (formal)"
"Basis I","Comment vas-tu?","How are you doing? (informal)"
"Basis I","Ça va très bien!","I'm doing great!"
"Basis I","Je vais bien","I'm fine"
"Basis I","Pas très bien","I'm not so well"
"Basis I","Quel âge as-tu?","How old are you? (informal)"
"Basis I","Quel âge avez-vous?","How old are you? (formal)"
"Basis I","Quel âge a-t-il?","How old is he?"
"Basis I","Quel âge a-t-elle?","How old is she?"
"Basis I","J'ai... ans","I am ... years old"
"Basis I","Je ne sais pas","I don't know"
"présentation","Comment vous-appelez vous?","What is your name? (formal)"
"présentation","Comment t'appelles-tu?","What is your name? (informal)"
"présentation","Tu es d'ici?","Are you from here?"
"présentation","Je m'appelle ..., et toi?","My name is ... , what's yours? (informal)"
"présentation","Enchanté, moi c'est ...","Pleased to meet you, my name is .. (formal)"
"présentation","Je te présente","Let me introduce you to ... (informal)"
"présentation","Qu'est-ce que vous faites dans la vie?","What do you do for a living (formal) ?"
"présentation","Qu'est-ce que tu fais dans la vie?","What do you do for a living (informal) ?"
"présentation","Tu travailles dans quoi?","What area do you work in (informal)"
"Basis II","Je suis prêt(e)","I'm ready"
"Basis II","Allons-y !","Let's go"
"Basis II","Je suis désolé(e)","Sorry"
"Basis II","Puis-je payer en liquide ?","Can I pay with cash?"
"Basis II","Est-ce que je peux payer par carte de crédit?","Can I pay by credit card?"
"Basis II","Acceptez-vous... ?","Do you accept ...? (formal, context, do you accept, credit card ..)"
"Basis II","Pouvez-vous changer ces chèques de voyage ?","Can you change these traveler's checks? (formal)"
"Basis II","Pouvez-vous changer cela en... ?","Can you change this into ...? (formal, context: changing money)"
"Basis II","Voici ma carte","Here is my card. (context: credit card)"
"Basis II","Combien prenez-vous de commission ?","How much commission do you charge? (formal, context: changing money)"
"Basis II","Je voudrais changer des dollars","I want to change some dollars"
"Basis II","Quel est le taux de change ?","What is the exchange rate?"
"Basis II","Où puis-je changer mon argent ?","Where can I change my money?"
"Basis II","Où se trouve la banque la plus proche ?","Where is the nearest bank?"
"Basis II","Où dois-je signer ?","Where should I sign?"
"Basis II","J'ai rendez-vous avec...","I have an appointment with ..."
"Basis II","Combien coûte l'entrée ?","How much is the entrance fee?"
"Basis II","Quel est le tarif horaire ?","How much does it cost per hour?"
"Basis II","Quel est le tarif hebdomadaire ?","How much does it cost per week?"
