english	french
I have to go to sleep	Je dois aller dormir.
Muiriel is 20 now	Muiriel a 20 ans maintenant.
The password is Muiriel	"Le mot de passe est ""Muiriel""."
I will be back soon	Je reviens tout de suite.
I'm at a loss for words	Mais c'est que des mots je suppose
This is never going to end	Ça n'en finira jamais.
I just don't know what to say	Je ne sais vraiment pas quoi dire.
That was an evil bunny	C’était un méchant lapin.
I was in the mountains	J'étais dans les montagnes.
Is it a recent picture	Est-ce que c'est une photo récente ?
Education in this world disappoints me	L'éducation dans ce monde me déçoit.
You're in better shape than I am	Tu es en meilleure forme que moi.
You are in my way	Tu es sur mon chemin.
This will cost €30	Ça coûtera 30 €.
I make €100 a day	Je gagne 100€ par jour.
That won't happen	Ça n'arrivera pas.
Sometimes he can be a strange guy	Parfois il peut être un gars bizarre.
I miss you	Tu me manques
I always liked mysterious characters more	J'ai toujours plus apprécié les personnages mystérieux.
You should sleep	Tu devrais dormir.
I'm going to go	Je vais y aller.
You're so impatient with me	Tu es tellement impatiente avec moi.
I can't live that kind of life	Je ne peux pas vivre comme ça.
I once wanted to be an astrophysicist	Il fut un temps où je voulais être astrophysicien.
I never liked biology	Je n'ai jamais aimé la biologie.
It is unfortunately true	C'est malheureusement vrai.
Most people think I'm crazy	La plupart des gens pensent que je suis fou.
No I'm not you are	Non je ne le suis pas, c'est toi qui l'es !
That's MY line	C'est ma réplique !
He's kicking me	Il me donne des coups de pied !
Are you sure	Êtes-vous certain
Then there is a problem	Alors il y a un problème...
Oh, there's a butterfly	Oh, il y a un papillon !
Hurry up	Dépêchez-vous
It doesn't surprise me	Ça ne me surprend pas.
It depends on the context	Elle dépend du contexte.
Are you freaking kidding me	Est-ce que tu te fous de moi ? !
That's the stupidest thing I've ever said	C'est la chose la plus stupide que j'ai jamais dite.
I'm so fat	Je suis si gros.
So what	De quoi
I'm gonna shoot him	J'vais l'descendre.
I'm just saying	Juste une idée.
That was probably what influenced their decision	C'était probablement ce qui a influencé leur décision.
