english,french
Which party do you belong to,À quel parti es-tu affilié ?
You can't go naked in this hotel,Vous ne pouvez vous promener nu dans cet hôtel.
You must always keep your hands clean,Tu dois toujours garder les mains propres.
When did you begin learning German,Quand as-tu commencé à apprendre l'allemand ?
Please go on with your story,"S'il vous plaît, continuez votre histoire."
I can hardly hear you,Je peux à peine t'entendre.
Omit needless words,Omets les mots inutiles !
Please give me your permanent address,"Donne-moi ton adresse permanente, s'il te plaît."
"Your parents didn't come, did they","Tes parents ne sont pas venus, n'est-ce pas ?"
Meg called you during your absence,Meg t'a appelé durant ton absence.
Your situation is analogous to mine,Ta situation est analogue à la mienne.
I understand your position perfectly,Je comprends parfaitement ta position.
I don't mean to challenge your theory,Je n'ai pas l'intention de contester votre théorie.
Your summary is not up to par,Ton résumé n'est pas à la hauteur.
Your prophecy has come true,Ta prophétie est devenue réalité.
Your friendship is most precious to me,Ton amitié m'est très précieuse.
I admire you for your courage,Je t'admire pour ton courage.
I admire your courage,J'admire ton courage.
I admire your brave deed,J'admire votre acte de bravoure.
I rest on your promise,Je me repose sur ta promesse
I'll keep your problems in mind,Je garderai tes problèmes à l&#39;esprit
"You have lovely eyes, don't you","Vous avez des yeux adorables, n'est-ce pas ?"
Your eyes are red with crying,Tes yeux sont rouges de pleurs
Where are your eyes,Où sont tes yeux ?
Your eyes have a certain magnetism,Tes yeux ont un certain magnétisme.
Your driver's license has expired,Ton permis de conduire a expiré.
Write your name in capitals,Écris ton nom en majuscules.
I know your name,Je connais ton nom
Didn't you hear your name called,N'as-tu pas entendu appeler ton nom ?
Your daughter is not a child anymore,Ta fille n&#39;est plus un enfant
I admire your ignorance,J'admire ton ignorance.
Your dream will come true some day,Ton rêve se réalisera un jour.
You have a regular pulse,Vous avez un pouls régulier.
Your comic books are on the shelf,Tes bandes dessinées sont sur l'étagère.
How pretty your sister is,Comme ta sœur est jolie !
What has become of your sister,Qu'est devenue ta sœur ?
What grade is your sister in,Dans quelle année scolaire est ta sœur ?
What's your real purpose,Quel est votre réel objectif ?
