Thème,French,English
Basis I,S'il-vous-plaît,Please
,Merci,"Thank you, Thanks"
,Je vous en prie,You're welcome
,"Pardon, excusez-moi (pour passer)",Excuse me
,Salut,Hi
,Bonjour,Hello 
,Au revoir ,Good bye
,Bonsoir,Good evening
,Bonne nuit,Good night
,Bienvenue,Welcome
,Parlez-vous anglais ?,Do you speak English?
,Je parle anglais,I speak English
,Je ne parle pas anglais,I don't speak English
,Je parle un peu anglais,I speak a little English
,Je parle russe,I speak Russian
,Je parle français,I speak French
,Je parle espagnol,I speak Spanish
,Me comprenez-vous?,Do you understand me?
,Je comprends,I understand
,Je ne comprends pas,I don't understand
,Est-ce que tu pourrais répéter ?,Could you please repeat that? (informal)
,"Pourriez-vous répéter, s'il-vous-plaît?",Could you please repeat that? (formal)
,"Pourriez-vous parler plus lentement, s'il vous plaît?",Could you please speak more slowly? (formal)
,"Pourriez-vous l'écrire, s'il vous plaît ?",Could you write it down please? (formal)
,Je ne sais pas comment dire cela,I don't know how to say that
,Je ne connais pas le mot exact,I don't know the right word
,Qu'avez-vous dit ?,What did you say? (formal)
,Qu'est-ce que tu as dit?,What did you say? (informal)
,Comment dit-on ceci en .... ?,How do you say that in ...... ? (formal)
,Comment écrit-on cela ?,How do you write that? (formal)
,Comment prononce-t-on cela ?,How do you pronounce that? (formal)
,Pouvez-vous me traduire cela ?,Can you translate this for me? (formal)
,Est-ce que je l'ai dit correctement ?,Did I say that right?
,Comment allez-vous ?,How are you doing? (formal)
,Comment vas-tu?,How are you doing? (informal)
,Ça va très bien!,I'm doing great!
,Je vais bien,I'm fine
,Pas très bien,I'm not so well
,Quel âge as-tu?,How old are you? (informal)
,Quel âge avez-vous?,How old are you? (formal)
,Quel âge a-t-il?,How old is he?
,Quel âge a-t-elle?,How old is she?
,J'ai... ans,I am ... years old
,Je ne sais pas,I don't know
présentation,Comment vous-appelez vous?,What is your name? (formal)
,Comment t'appelles-tu?,What is your name? (informal)
,Tu es d'ici?,Are you from here?
,"Je m'appelle ..., et toi?","My name is ... , what's yours? (informal)"
,"Enchanté, moi c'est ...","Pleased to meet you, my name is .. (formal)"
,Je te présente,Let me introduce you to ... (informal)
,Qu'est-ce que vous faites dans la vie?,What do you do for a living (formal) ?
,Qu'est-ce que tu fais dans la vie?,What do you do for a living (informal) ?
,Tu travailles dans quoi?,What area do you work in (informal)
Basis II,Je suis prêt(e),I'm ready
,Allons-y !,Let's go
,Je suis désolé(e),Sorry
,Puis-je payer en liquide ?,Can I pay with cash?
,Est-ce que je peux payer par carte de crédit?,Can I pay by credit card?
